tweet_id,writer,post_date,body,comment_num,retweet_num,like_num,ticker_symbol,date,time,va_sentiment_score
947618374569353216,Auscomp,1514764801,The 7 Greatest Tech Stocks of All Time monitored on a twitter wall $orcl $intc $googl $amzn $ibm $msft $appl @twitter with here https://socialfeed.biz/trading-7-greatest-tech-stock… … …#SocialMedia #TradingTips #TradingStrategy #socialwall #socialboard,0,0,2,GOOGL,2018-01-01,00:00:01,0.6369
947618374569353216,Auscomp,1514764801,The 7 Greatest Tech Stocks of All Time monitored on a twitter wall $orcl $intc $googl $amzn $ibm $msft $appl @twitter with here https://socialfeed.biz/trading-7-greatest-tech-stock… … …#SocialMedia #TradingTips #TradingStrategy #socialwall #socialboard,0,0,2,AMZN,2018-01-01,00:00:01,0.6369
947618475958325248,ExactOptionPick,1514764825,Don't miss our next FREE OPTION TRADE.  Sign up for our Daily Free Trades at http://ow.ly/MPfT30hqjVh $NVDA $TSLA $GS $C $WFC $GOOGL $FB,0,0,0,GOOGL,2018-01-01,00:00:25,0.9061
947619846124122113,Eric714,1514765151,How is $AAPL @Apple going to get me to buy a #HomePod for $350 when I have 3 $AMZN @amazonecho s that I love?,1,0,0,AAPL,2018-01-01,00:05:51,0.8807
947619846124122113,Eric714,1514765151,How is $AAPL @Apple going to get me to buy a #HomePod for $350 when I have 3 $AMZN @amazonecho s that I love?,1,0,0,AMZN,2018-01-01,00:05:51,0.8807
947622160616644610,OACtrading,1514765703,"REAL TIME TRADE ALERTS via PRIVATE $TWTR FEED, perfect for people who have FT jobs and trade part-time! $AMZN $NFLX $GOOGL $WIX $GS $FB",0,0,0,GOOGL,2018-01-01,00:15:03,0.6114
947622160616644610,OACtrading,1514765703,"REAL TIME TRADE ALERTS via PRIVATE $TWTR FEED, perfect for people who have FT jobs and trade part-time! $AMZN $NFLX $GOOGL $WIX $GS $FB",0,0,0,AMZN,2018-01-01,00:15:03,0.6114
947622701857832960,displayamerica,1514765832,The Amazon Economy $AMZN,0,0,0,AMZN,2018-01-01,00:17:12,0.1779
947622745310945280,rfmulcahy,1514765843,My short average is 348...price is at 311...thanks for playing $TSLA,0,0,1,TSLA,2018-01-01,00:17:23,-0.6369
947622772800450561,permabear_uk,1514765849,"$IBM settled -0.4% at $153.42, making for a 2017 decline of -4.0%. The stock does have a key m/t higher low of $137.75, and I am m/t bullish >200. If correct, implications for the $INDU across 2018. Superior alts: $CSCO $AAPL $INTC",0,0,1,AAPL,2018-01-01,00:17:29,-0.3612
947622944469110784,BitcoinLootbox,1514765890,Are You Bullish Or Bearish On #Google? Start #Trading $GOOG With #Bitcoin!http://ElixiumCapital.com/BTC-GOOG/ Fast & Secure Exchange! Up To 200:1 Leverage! Get Paid #Dividends For Holding Your Position! Earn Passive Income With Auto Copy Trading!#BTC #Crypto #Cryptocurrency,0,0,0,GOOG,2018-01-01,00:18:10,0.6562
947623169241821184,patienttrading,1514765944,"$AAPL 2018, with 3 new handsets and possibly a subscription video-on-demand service.",1,1,3,AAPL,2018-01-01,00:19:04,0.0
947623433365463040,,1514766007,Updates on stocks from specstocks at SpeculatingStocks pulse. $FB $NFLX $TSLA $ULTA #stocks,0,0,0,TSLA,2018-01-01,00:20:07,0.0
947624142504955904,talesftf,1514766176,"That fully autonomous CA to NYC $TSLA drive (garage to garage) in 2017 was great! Oh wait, it didn‘t happen...",1,0,6,TSLA,2018-01-01,00:22:56,0.6588
947624680084656130,OptionAlarm,1514766304,"With past performance like this, how can you not sign up for a Free 7-day trial to http://ow.ly/oQ9p30hqkkY? Winning Option Swing Trades Since 2006  $BABA $GOOGL $TSLA $BIDU",0,0,0,GOOGL,2018-01-01,00:25:04,0.8481
947624680084656130,OptionAlarm,1514766304,"With past performance like this, how can you not sign up for a Free 7-day trial to http://ow.ly/oQ9p30hqkkY? Winning Option Swing Trades Since 2006  $BABA $GOOGL $TSLA $BIDU",0,0,0,TSLA,2018-01-01,00:25:04,0.8481
